2023-10-20 9:17:31 - PHP Warning:  mysqli::query(): (42S22/1054): Unknown column 'oc_tsg_product_variant_options.option_class_id' in 'field list' in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-20 9:17:43 - PHP Warning:  Undefined array key "bulk_discount_group" in xdebug://debug-eval on line 1
2023-10-20 9:17:48 - PHP Warning:  mysqli::query(): (42S22/1054): Unknown column 'oc_tsg_product_variant_options.option_class_id' in 'field list' in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-20 9:18:07 - PHP Warning:  mysqli::query(): (42S22/1054): Unknown column 'oc_tsg_product_variant_options.option_class_id' in 'field list' in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-20 9:18:20 - PHP Warning:  mysqli::query(): (42S22/1054): Unknown column 'oc_tsg_product_variant_options.option_class_id' in 'field list' in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-20 9:18:31 - PHP Warning:  mysqli::query(): (42S22/1054): Unknown column 'oc_tsg_product_variant_options.option_class_id' in 'field list' in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-20 9:18:58 - PHP Warning:  mysqli::query(): (42S22/1054): Unknown column 'oc_tsg_product_variant_options.option_class_id' in 'field list' in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-24 5:06:08 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-24 5:06:08 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /Users/simonfroggatt/Sites/totalsafetygroup_stores/system/library/db/mysqli.php on line 25
2023-10-24 5:16:26 - PHP Warning:  Undefined array key "tax_class_id" in /Users/simonfroggatt/Sites/totalsafetygroup_stores/catalog/controller/tsg/product_variants.php on line 95
2023-10-24 5:17:31 - PHP Warning:  Undefined array key "tax_class_id" in /Users/simonfroggatt/Sites/totalsafetygroup_stores/catalog/controller/tsg/product_variants.php on line 95
2023-10-24 5:24:32 - PHP Warning:  Undefined array key "tax_class_id" in /Users/simonfroggatt/Sites/totalsafetygroup_stores/catalog/controller/tsg/product_variants.php on line 95
2023-10-24 5:26:08 - PHP Warning:  Undefined array key "tax_class_id" in /Users/simonfroggatt/Sites/totalsafetygroup_stores/catalog/controller/tsg/product_variants.php on line 95
2023-10-24 5:27:25 - PHP Warning:  Undefined array key "tax_class_id" in /Users/simonfroggatt/Sites/totalsafetygroup_stores/catalog/controller/tsg/product_variants.php on line 95
